mudac_id,motion_type,filing_party,filed_before_joined,proceeding_precentile
77309416458,Motion to Consolidate,Defendant,false,0.0
77309416458,Motion to Consolidate,Defendant,false,0.0
77309416458,Motion to Consolidate,Unknown,false,0.0
77309416458,Motion to Consolidate,Unknown,false,0.0
77309416458,Motion to Consolidate,Defendant,false,0.0
77309416458,Motion to Consolidate,Defendant,false,0.0
515396078561,Motion to Consolidate,Defendant,true,0.0
171798693755,Motion to Consolidate,Unknown,false,0.0
446676603500,Motion to Consolidate,Unknown,false,0.0
343597384415,Motion to Consolidate,Defendant,false,0.0
850403524825,Motion to Consolidate,Defendant,false,0.0
128849020629,Motion to Consolidate,Defendant,false,0.0
300647715636,Motion to Consolidate,Plaintiff,false,0.0
300647715636,Motion to Consolidate,Plaintiff,true,0.0
300647715636,Motion to Consolidate,Plaintiff,false,0.0
223338300404,Motion to Consolidate,Plaintiff,true,0.0
223338300404,Motion to Consolidate,Plaintiff,true,0.0
635655163984,Motion to Consolidate,Defendant,true,0.0
68719477072,Motion to Consolidate,Defendant,false,0.0
601295425962,Motion to Consolidate,Plaintiff,true,0.0
601295425962,Motion to Consolidate,Plaintiff,true,0.0
446676601682,Motion to Consolidate,Defendant,false,0.0
446676601682,Motion to Consolidate,Defendant,false,0.0
652835032023,Motion to Consolidate,Defendant,true,0.0
712964574586,Motion to Consolidate,Defendant,false,0.0
738734378087,Motion to Consolidate,Defendant,false,0.0
266287972952,Motion to Consolidate,Defendant,false,0.0
618475295139,Motion to Consolidate,Unknown,false,0.0
618475295139,Motion to Consolidate,Defendant,false,0.0
506806143903,Motion to Consolidate,Defendant,false,0.0
481036340846,Motion to Consolidate,Defendant,false,0.0
481036340846,Motion to Consolidate,Defendant,false,0.0
833223656781,Motion to Consolidate,Plaintiff,false,0.0
266287974373,Motion to Consolidate,Plaintiff,false,0.0
403726928106,Motion to Consolidate,Plaintiff,false,0.0
360777254070,Motion to Consolidate,Unknown,true,0.0
300647713675,Motion to Consolidate,Plaintiff,false,0.0
627065227332,Motion to Consolidate,Plaintiff,true,0.0
824633722902,Motion to Consolidate,Defendant,false,0.0
824633722902,Motion to Consolidate,Unknown,false,0.0
77309412053,Motion to Consolidate,Defendant,false,0.0
352187318773,Motion to Consolidate,Defendant,true,0.0
738734379592,Motion to Consolidate,Plaintiff,false,0.0
738734379592,Motion to Consolidate,Unknown,false,0.0
146028891232,Motion to Consolidate,Plaintiff,true,0.0
146028891232,Motion to Consolidate,Unknown,true,0.0
51539609456,Motion to Consolidate,Plaintiff,true,0.0
51539609456,Motion to Consolidate,Plaintiff,true,0.0
326417516475,Motion to Consolidate,Defendant,true,0.0
326417516475,Motion to Consolidate,Defendant,true,0.0
601295423574,Motion to Consolidate,Plaintiff,true,0.0
601295423574,Motion to Consolidate,Plaintiff,false,0.0
601295423574,Motion to Consolidate,Plaintiff,true,0.0
601295423574,Motion to Consolidate,Plaintiff,false,0.0
489626273112,Motion to Consolidate,Plaintiff,false,0.0
609885359496,Motion to Consolidate,Plaintiff,false,0.0
